Study_ID,Citation,SAR_TYPE,Study_location,Biogeo_realm,Number of islands/patches in study,Area,Richness
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,161,1
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,1612,1
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,968,2
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,645,2
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,484,2
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,484,3
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,4194,11
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,3062,12
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,43548,21
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,61532,31
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,1161,17
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,654,19
1,"Goldstein, 1975",Insular,The Thimble Islands,Nearctic,9,208,9
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,5498,5
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,2486,6
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,1686,6
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,23786,7
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,15363,7
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,2487,7
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,52439,8
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,42090,16
2,"Bandano et al, 2005",Mainland,Argentina,Neotropic,9,625163,18
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,70000,22
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,80000,22
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,30000,21
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,350000,21
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,1200000,27
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,10000,25
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,20000,30
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,220000,36
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,540000,38
3,"Clark et al, 2011",Insular,Boston Harbor Islands,Nearctic,9,1080000,39
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,8000000,6
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,240000,1
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,1000000,1
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,4000000,3
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,10000000,4
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,6000000,5
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,8000000,14
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,16000000,11
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,36500000,12
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,15000000,12
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,33000000,13
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,8000000,14
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,56000000,17
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,24000000,18
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,19000000,18
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,162000000,17
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,26000000,18
4,Boomsma et al. 1987,Insular,Frisian Islands,Palearctic,18,96000000,19
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,82300,14
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,10000,18
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,214200,19
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,216500,21
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,227400,25
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,57600,26
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,197100,27
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,58000,27
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,264300,28
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,86200,28
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,96300,28
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,89600,28
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,391200,29
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,226500,29
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,199200,31
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,164300,33
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,458000,34
5,Rizali et al. 2010,Insular,Kepulauan Seribu,Indomalaya,18,528700,35
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,28000,1
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,155000,4
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,39000,2
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,450000,14
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,10000,2
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,10000,8
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,380000,9
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,150000,4
6,Dean & Bond 1990,Mainland,hendrik verwoerd dam,Afrotropic,9,6500000,17
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,1200,11
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,1200,19
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,3675,20
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,1200,20
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,1800,23
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,3675,37
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,4800,38
8,Cuisi et al. 2015,Mainland,"Corumba, County, Brazil",Neotropic,8,6075,63
9,Muhlenberg et al. 1977,Insular,Central Seychelles Islands,Afrotropic,3,7700,11
9,Muhlenberg et al. 1977,Insular,Central Seychelles Islands,Afrotropic,3,850000,16
9,Muhlenberg et al. 1977,Insular,Central Seychelles Islands,Afrotropic,3,350000,17
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,3.74,13
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,4.05,13
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,4.21,14
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,6.91,14
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,4.99,16
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,5.27,16
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,5.77,16
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,5.56,17
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,3.21,20
