Study_ID,Citation,Year,SAR_TYPE,Island.Type,Lat,Long,Study location,Ecoregion,Number of islands/patches in study,Island_or_Mainland,Min_A,Max_A,Range(order of magnitude),Island Area (m2),Distance From Mainland (m),Species Richness,Total species richness on islands ,Total species richness on islands and mianland,Sampling Method,Number of Sampling Methods,Z,Std. Error,R2,Signifcant?,Notes,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,3062,111,12,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,4194,282,11,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,484,563,3,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,161,483,1,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,968,483,2,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,645,201,2,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,1612,925,1,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,484,966,2,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,43548,1569,21,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1972,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Mainland,161,43548,2.432142338,61532,0,31,31,34,Hand,1,0.404,,0.63,,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,23786,250,7,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,42090,198,16,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,15363,143,7,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,625163,10,18,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,5498,167,5,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,52439,251,8,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,2486,732,6,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,2487,120,7,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,1686,198,6,23,,Vaccum,1,0.19,0.056,0.63,Y,,
3,"Clark et al, 2011",2005-2009,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,1200000,640,27,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2010,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,70000,3290,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2011,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,220000,370,37,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2012,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,80000,2360,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2013,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,20000,520,32,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2014,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,10000,320,27,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2015,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,30000,350,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2016,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,350000,1920,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2017,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,540000,510,40,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2018,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Mainland,10000,1200000,2.079181246,1080000,0,40,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,162000000,63000,17,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
